Type,Student.Code,Text
Poll,A,Cupcake ipsum dolor sit. Amet pastry sugar plum cotton candy chocolate cake chocolate cake brownie cookie. Jelly jelly macaroon bear claw halvah cake toffee. Cupcake gummies chupa chups pudding apple pie. Jelly beans toffee jelly. Jelly-o oat cake jelly beans lollipop toffee oat cake soufflé cake carrot cake. Lemon drops jelly beans candy canes sesame snaps bonbon chocolate. Marshmallow dessert lemon drops. Jelly macaroon marshmallow gummi bears tiramisu bear claw. Pudding carrot cake donut. Danish toffee donut halvah tootsie roll icing. Biscuit sweet roll lollipop oat cake chocolate cake candy canes marshmallow sweet roll. Cake cheesecake oat cake chocolate bar oat cake soufflé. Candy oat cake sweet fruitcake chocolate.
Post,I,"Shaman viral bespoke aesthetic photo booth normcore mustache venmo church-key seitan succulents tumblr, tattooed taxidermy. Tilde umami disrupt, mumblecore leggings hashtag listicle bespoke chicharrones celiac before they sold out viral. Typewriter hell of raw denim helvetica."
Post,Y,Sweet roll bonbon croissant danish tootsie roll carrot cake soufflé bear claw. Sweet sugar plum dragée halvah tart. Lemon drops cheesecake bear claw cupcake. Topping marzipan croissant chocolate bar soufflé candy canes danish sesame snaps. Brownie cake jelly. Apple pie cake sweet roll marzipan. Dessert candy canes chocolate icing macaroon cotton candy sugar plum jelly.
Post,Z,"Lorem ipsum dolor amet hot chicken chartreuse tattooed gochujang master cleanse occupy small batch. Subway tile post-ironic unicorn normcore. Church-key helvetica forage drinking vinegar, trust fund snackwave biodiesel. Organic literally gluten-free seitan, fingerstache williamsburg copper mug letterpress blue bottle normcore. Plaid YOLO pok pok pabst air plant vexillologist squid, chicharrones prism asymmetrical."
Post,W,Cupcake ipsum dolor sit amet brownie chupa chups macaroon halvah. Tiramisu soufflé croissant sugar plum cake chupa chups. Gummi bears pie jelly cotton candy bear claw gingerbread bear claw muffin.
Post,J,Post-ironic edison bulb banjo air plant cronut heirloom banh mi ugh. Poke ramps jean shorts skateboard chillwave aesthetic selfies before they sold out everyday carry.
Post,X,I love cupcake marshmallow bear claw powder. Sweet toffee gummies tiramisu chocolate bar. Sugar plum cheesecake I love chocolate ice cream candy dessert. Powder pie oat cake. Pastry dragée cheesecake candy canes I love halvah. Powder chocolate toffee cheesecake jelly dragée candy powder pastry. Cake candy tootsie roll jelly sugar plum oat cake bear claw I love.
Post,S,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed nec porttitor orci. Suspendisse sit amet tortor elit. Mauris ut dignissim sapien. Fusce pharetra purus vitae ante aliquam, quis finibus ligula maximus. Suspendisse in odio mattis, vulputate nunc et, gravida erat. Curabitur suscipit nisi in velit viverra facilisis. :)"
Post,V,"Cat ipsum dolor sit amet, nya nya nyan. Chase the pig around the house reward the chosen human with a slow blink meow all night having their mate disturbing sleeping humans so so you're just gonna scroll by without saying meowdy? yet push your water glass on the floor. Why must they do that. Favor packaging over toy look at dog hiiiiiisssss. Sleep on my human's head a nice warm laptop for me to sit on. Meow eat a rug and furry furry hairs everywhere oh no human coming lie on counter don't get off counter. Sleep nap need to check on human, have not seen in an hour might be dead oh look, human is alive, hiss at human, feed me walk on car leaving trail of paw prints on hood and windshield sleep everywhere, but not in my bed."
Post,D,"Fashion axe tote bag hella venmo kale chips. Yuccie four dollar toast, pop-up bespoke iceland scenester do culpa selvage adipisicing pok pok williamsburg. Trust fund elit jianbing iPhone mollit, woke seitan 90's paleo fanny pack authentic intelligentsia dreamcatcher tattooed. "
